provider_id,name,registration_number,qualification,specialization,hospital,address,phone,mobile,email,city,state,consultation_fee,timings,languages,expected_error_type
P011,Dr. Nisha Singh,MMC/77493/2017,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Suburban Clinic,"148, Powai, Mumbai, Maharashtra - 400440",022-79026626,+91-9514079461,dr.nisha.singh@suburban.com,Mumbai,Maharashtra,₹1000-1500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P012,Dr. Karthik Reddy,TSMC/72814/2009,"MBBS, MD (Medicine)",General Physician,Yashoda Hospital Secunderabad,"839, Gachibowli, Hyderabad, Telangana - 500704",040-27856699,+91-6710502732,dr.karthik.reddy@yashoda.com,Hyderabad,Telangana,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Telugu",OUTDATED_PHONE
P013,Dr. Priya Iyer,RMC/95019/2010,"MBBS, MD (Dermatology)",Dermatologist,Royal Hospital,"930, Ganga Shahar, Bikaner, Rajasthan - 334142",0151-79568903,+91-9813946542,dr.priya.iyer@royal.com,Bikaner,Rajasthan,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P014,Dr. Lakshmi Rao,TNMC/90963/2023,"MBBS, MD (Medicine)",General Physician,Beach Care Hospital,"573, T Nagar, Chennai, Tamil Nadu - 600732",044-24016199,+91-6834323659,dr.lakshmi.rao@beach.com,Chennai,Tamil Nadu,₹400-600,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Tamil",OUTDATED_PHONE
P015,Dr. Ritu Reddy,MMC/43931/2010,"MBBS, MD (Medicine)",General Physician,Hinduja Hospital Khar,"658, Andheri West, Mumbai, Maharashtra - 400371",022-73727779,+91-8286753614,dr.ritu.reddy@hinduja.com,Mumbai,Maharashtra,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",MOVED_ADDRESS
P016,Dr. Ashok Gupta,MMC/23635/2020,"MBBS, MD, DM (Neurology)",Neurologist,Marine Drive Hospital,"84, Andheri West, Mumbai, Maharashtra - 400423",022-86986454,+91-7498751605,dr.ashok.gupta@marine.com,Mumbai,Maharashtra,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P017,Dr. Ritu Pillai,KMC/25325/2020,"MBBS, MD, DM (Cardiology)",Cardiologist,Apollo Hospital Bangalore,"636, Indiranagar, Bangalore, Karnataka - 560975",080-27631456,+91-6360809140,dr.ritu.pillai@apollo.com,Bangalore,Karnataka,₹1200-2000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Kannada",OUTDATED_PHONE
P018,Dr. Divya Verma,DMC/64570/2009,"MBBS, MD (Dermatology)",Dermatologist,Fortis Hospital Vasant Kunj,"363, Connaught Place, Delhi, Delhi - 110571",011-78230199,+91-8205419697,dr.divya.verma@fortis.com,Delhi,Delhi,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi",CORRECT_DATA
P019,Dr. Asha Patel,WBMC/51150/2011,"MBBS, MD (Medicine)",General Physician,Fortis Hospital Anandapur,"906, Salt Lake, Kolkata, West Bengal - 700851",033-51652923,+91-9786778550,dr.asha.patel@fortis.com,Kolkata,West Bengal,₹300-500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P020,Dr. Ritu Menon,MMC/40928/2009,"MBBS, DLO",ENT Specialist,Sahyadri Hospital Deccan,"855, Aundh, Pune, Maharashtra - 411360",020-37216630,+91-6628117003,dr.ritu.menon@sahyadri.com,Pune,Maharashtra,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",MULTIPLE_CONFLICTS
P021,Dr. Ramesh Verma,MMC/14256/2015,"MBBS, DLO",ENT Specialist,Sahyadri Hospital Deccan,"971, Viman Nagar, Pune, Maharashtra - 411122",020-35088296,+91-695692529,dr.ramesh.verma@sahyadri.com,Pune,Maharashtra,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Marathi",OUTDATED_PHONE
P022,Dr. Divya Gupta,RMC/84804/2019,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Pink City Hospital,"571, C Scheme, Jaipur, Rajasthan - 302280",0141-90835995,+91-8278578097,dr.divya.gupta@pink.com,Jaipur,Rajasthan,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",HOSPITAL_CHANGED
P023,Dr. Kavita Iyer,UPMC/15724/2023,"MBBS, MD (Medicine)",General Physician,Sahara Hospital,"140, Indira Nagar, Lucknow, Uttar Pradesh - 226842",0522-90958099,+91-7287025786,dr.kavita.iyer@sahara.com,Lucknow,Uttar Pradesh,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P024,Dr. Neha Kulkarni,GMC/83982/2013,"MBBS, MD, DM (Cardiology)",Cardiologist,Sterling Hospital Memnagar,"798, Bodakdev, Ahmedabad, Gujarat - 380645",079-24012958,+91-6663579928,dr.neha.kulkarni@sterling.com,Ahmedabad,Gujarat,₹1000-1500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Gujarati",OUTDATED_PHONE
P025,Dr. Ashok Agarwal,MMC/65147/2018,"MBBS, DLO",ENT Specialist,Sahyadri Hospital Deccan,"841, Koregaon Park, Pune, Maharashtra - 411809",020-94874455,+91-8977969319,dr.ashok.agarwal@sahyadri.com,Pune,Maharashtra,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",HOSPITAL_CHANGED
P026,Dr. Sneha Iyer,KMC/13192/2010,"MBBS, MD (Medicine)",General Physician,Manipal Hospital Whitefield,"647, Whitefield, Bangalore, Karnataka - 560510",080-32889593,+91-6492981202,dr.sneha.iyer@manipal.com,Bangalore,Karnataka,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Kannada",OUTDATED_PHONE
P027,Dr. Manoj Agarwal,TNMC/20712/2017,"MBBS, MD, DM (Cardiology)",Cardiologist,MIOT International,"70, Anna Nagar, Chennai, Tamil Nadu - 600465",044-61228888,+91-753632053,dr.manoj.agarwal@miot.com,Chennai,Tamil Nadu,₹1200-2000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Tamil",CORRECT_DATA
P028,Dr. Sneha Rao,MMC/66095/2012,"MBBS, MD (Medicine)",General Physician,Kokilaben Dhirubhai Ambani,"807, Churchgate, Mumbai, Maharashtra - 400508",022-99045492,+91-9263929945,dr.sneha.rao@kokilaben.com,Mumbai,Maharashtra,₹400-600,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",CORRECT_DATA
P029,Dr. Neha Joshi,KMC/47116/2016,"MBBS, MD (Medicine)",General Physician,City Care Clinic,"494, Indiranagar, Bangalore, Karnataka - 560644",080-55869240,+91-9778962313,dr.neha.joshi@city.com,Bangalore,Karnataka,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Kannada",CORRECT_DATA
P030,Dr. Anand Reddy,RMC/73695/2016,"MBBS, MD (Medicine)",General Physician,Gandhi Nagar Clinic,"350, Sadul Ganj, Bikaner, Rajasthan - 334669",0151-60963260,+91-9548360241,dr.anand.reddy@gandhi.com,Bikaner,Rajasthan,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P031,Dr. Neha Desai,RMC/56823/2014,"MBBS, MD (Medicine)",General Physician,Narayana Multispeciality Hospital,"547, Vaishali Nagar, Jaipur, Rajasthan - 302926",0141-49702844,+91-947976747,dr.neha.desai@narayana.com,Jaipur,Rajasthan,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P032,Dr. Vikram Reddy,GMC/63409/2022,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Apollo Hospital Bhat,"372, Navrangpura, Ahmedabad, Gujarat - 380870",079-48377977,+91-9856054133,dr.vikram.reddy@apollo.com,Ahmedabad,Gujarat,₹800-1200,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Gujarati",CORRECT_DATA
P033,Dr. Ravi Iyer,UPMC/62823/2018,"MBBS, MD (Pediatrics)",Pediatrician,Sahara Hospital,"412, Ashiyana, Lucknow, Uttar Pradesh - 226158",0522-27248354,+91-6263573328,dr.ravi.iyer@sahara.com,Lucknow,Uttar Pradesh,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MULTIPLE_CONFLICTS
P034,Dr. Sanjay Reddy,MMC/19280/2017,"MBBS, MD (Medicine)",General Physician,Ruby Hall Clinic,"552, Kothrud, Pune, Maharashtra - 411828",020-58613049,+91-8210579886,dr.sanjay.reddy@ruby.com,Pune,Maharashtra,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P035,Dr. Meera Mehta,MMC/64793/2022,"MBBS, MD (Medicine)",General Physician,Ruby Hall Clinic,"144, Aundh, Pune, Maharashtra - 411875",020-64063031,+91-8654431518,dr.meera.mehta@ruby.com,Pune,Maharashtra,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P036,Dr. Kavita Kulkarni,RMC/20709/2021,"MBBS, DLO",ENT Specialist,Royal Hospital,"697, Jail Road, Bikaner, Rajasthan - 334687",0151-44872504,+91-9668679459,dr.kavita.kulkarni@royal.com,Bikaner,Rajasthan,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P037,Dr. Suresh Iyer,UPMC/19428/2009,"MBBS, MS (Ophthalmology)",Ophthalmologist,Medanta Hospital Lucknow,"579, Alambagh, Lucknow, Uttar Pradesh - 226185",0522-40180668,+91-7558921979,dr.suresh.iyer@medanta.com,Lucknow,Uttar Pradesh,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P038,Dr. Ajay Sharma,UPMC/91424/2019,"MBBS, MD (Dermatology)",Dermatologist,Medanta Hospital Lucknow,"228, Mahanagar, Lucknow, Uttar Pradesh - 226591",0522-67616505,+91-8943483056,dr.ajay.sharma@medanta.com,Lucknow,Uttar Pradesh,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",MOVED_ADDRESS
P039,Dr. Preeti Joshi,GMC/64441/2016,"MBBS, MD (Medicine)",General Physician,Satellite Clinic,"523, SG Highway, Ahmedabad, Gujarat - 380283",079-99341257,+91-7163674729,dr.preeti.joshi@satellite.com,Ahmedabad,Gujarat,₹400-600,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Gujarati",CORRECT_DATA
P040,Dr. Meera Pillai,RMC/85173/2019,"MBBS, MD (Medicine)",General Physician,Narayana Multispeciality Hospital,"420, Raja Park, Jaipur, Rajasthan - 302768",0141-72246961,+91-8244412751,dr.meera.pillai@narayana.com,Jaipur,Rajasthan,₹400-600,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P041,Dr. Rahul Agarwal,DMC/21585/2020,"MBBS, MD (Pediatrics)",Pediatrician,BLK Hospital,"870, Rohini, Delhi, Delhi - 110835",011-37769461,+91-6482278644,dr.rahul.agarwal@blk.com,Delhi,Delhi,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi",OUTDATED_PHONE
P042,Dr. Asha Kumar,RMC/65693/2016,"BDS, MDS",Dentist,Eternal Heart Care,"937, Tonk Road, Jaipur, Rajasthan - 302893",0141-83095662,+91-9240177232,dr.asha.kumar@eternal.com,Jaipur,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P043,Dr. Preeti Reddy,WBMC/62784/2020,"MBBS, MD (Medicine)",General Physician,Alipore Medical Center,"936, Salt Lake, Kolkata, West Bengal - 700360",033-42167049,+91-8987111051,dr.preeti.reddy@alipore.com,Kolkata,West Bengal,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Bengali",MOVED_ADDRESS
P044,Dr. Ajay Nair,TSMC/98052/2011,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Metro Care,"600, Kukatpally, Hyderabad, Telangana - 500503",040-57621424,+91-9460844843,dr.ajay.nair@metro.com,Hyderabad,Telangana,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Telugu",CORRECT_DATA
P045,Dr. Nisha Mehta,RMC/82753/2019,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Pink City Hospital,"288, Raja Park, Jaipur, Rajasthan - 302771",0141-92755250,+91-7568704650,dr.nisha.mehta@pink.com,Jaipur,Rajasthan,₹1000-1500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P046,Dr. Vikram Iyer,RMC/18320/2010,"MBBS, DLO",ENT Specialist,Narayana Multispeciality Hospital,"981, Malviya Nagar, Jaipur, Rajasthan - 302456",0141-39221665,+91-6631918046,dr.vikram.iyer@narayana.com,Jaipur,Rajasthan,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P047,Dr. Vikram Kumar,DMC/37058/2011,"MBBS, DLO",ENT Specialist,AIIMS Delhi,"790, Saket, Delhi, Delhi - 110594",011-27525887,+91-6833065805,dr.vikram.kumar@aiims.com,Delhi,Delhi,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi",MULTIPLE_CONFLICTS
P048,Dr. Meera Rao,TSMC/10855/2017,"MBBS, MD, DM (Cardiology)",Cardiologist,Metro Care,"361, Jubilee Hills, Hyderabad, Telangana - 500351",040-32487921,+91-6801081531,dr.meera.rao@metro.com,Hyderabad,Telangana,₹1000-1500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Telugu",OUTDATED_PHONE
P049,Dr. Anand Menon,KMC/56978/2012,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Columbia Asia Hebbal,"576, MG Road, Bangalore, Karnataka - 560250",080-97108035,+91-822798120,dr.anand.menon@columbia.com,Bangalore,Karnataka,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Kannada",CORRECT_DATA
P050,Dr. Ravi Verma,UPMC/69959/2017,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Apollo Medics Hospital,"406, Mahanagar, Lucknow, Uttar Pradesh - 226219",0522-58590845,+91-7619418775,dr.ravi.verma@apollo.com,Lucknow,Uttar Pradesh,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P051,Dr. Suresh Reddy,TNMC/80936/2023,"MBBS, DLO",ENT Specialist,SIMS Hospital Vadapalani,"468, Velachery, Chennai, Tamil Nadu - 600512",044-80394261,+91-9689849099,dr.suresh.reddy@sims.com,Chennai,Tamil Nadu,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",CORRECT_DATA
P052,Dr. Vikram Pillai,MMC/12691/2022,"MBBS, MD (Pediatrics)",Pediatrician,Aditya Birla Hospital,"502, Aundh, Pune, Maharashtra - 411437",020-37758263,+91-6475375115,dr.vikram.pillai@aditya.com,Pune,Maharashtra,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",OUTDATED_PHONE
P053,Dr. Asha Agarwal,RMC/45337/2014,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Fortis Escorts Hospital,"170, Mansarovar, Jaipur, Rajasthan - 302684",0141-70504657,+91-8624011994,dr.asha.agarwal@fortis.com,Jaipur,Rajasthan,₹800-1200,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P054,Dr. Sneha Joshi,KMC/59707/2022,"MBBS, MD (Medicine)",General Physician,Apollo Hospital Bangalore,"615, Indiranagar, Bangalore, Karnataka - 560178",080-61701317,+91-7396921670,dr.sneha.joshi@apollo.com,Bangalore,Karnataka,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Kannada",CORRECT_DATA
P055,Dr. Praveen Joshi,TNMC/49795/2018,"MBBS, DLO",ENT Specialist,City Medical Center,"372, Adyar, Chennai, Tamil Nadu - 600747",044-48995956,+91-8114426827,dr.praveen.joshi@city.com,Chennai,Tamil Nadu,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Tamil",CORRECT_DATA
P056,Dr. Lakshmi Rao,RMC/44387/2020,"MBBS, MD (Dermatology)",Dermatologist,Royal Hospital,"710, Gandhi Nagar, Bikaner, Rajasthan - 334261",0151-88192589,+91-9911072004,dr.lakshmi.rao@royal.com,Bikaner,Rajasthan,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",HOSPITAL_CHANGED
P057,Dr. Nisha Mehta,RMC/90618/2015,"BDS, MDS",Dentist,CK Birla Hospital RBH,"805, C Scheme, Jaipur, Rajasthan - 302871",0141-70659444,+91-9654155907,dr.nisha.mehta@ck.com,Jaipur,Rajasthan,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P058,Dr. Lakshmi Kumar,GMC/27851/2013,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,SAL Hospital Drive In,"781, Bodakdev, Ahmedabad, Gujarat - 380920",079-92048096,+91-7890173052,dr.lakshmi.kumar@sal.com,Ahmedabad,Gujarat,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Gujarati",CORRECT_DATA
P059,Dr. Sunita Rao,UPMC/91461/2022,"MBBS, MD (Pediatrics)",Pediatrician,Medanta Hospital Lucknow,"785, Aliganj, Lucknow, Uttar Pradesh - 226615",0522-21069663,+91-6660781509,dr.sunita.rao@medanta.com,Lucknow,Uttar Pradesh,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P060,Dr. Ravi Kumar,GMC/77146/2011,"MBBS, MS (Ophthalmology)",Ophthalmologist,Satellite Clinic,"66, Satellite, Ahmedabad, Gujarat - 380275",079-44708441,+91-7760091941,dr.ravi.kumar@satellite.com,Ahmedabad,Gujarat,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Gujarati",CORRECT_DATA
P061,Dr. Swati Iyer,WBMC/55800/2010,"MBBS, MD (Medicine)",General Physician,Alipore Medical Center,"567, Ballygunge, Kolkata, West Bengal - 700494",033-88959179,+91-9862900633,dr.swati.iyer@alipore.com,Kolkata,West Bengal,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",CORRECT_DATA
P062,Dr. Anjali Gupta,RMC/49608/2019,"MBBS, MD (Medicine)",General Physician,Narayana Multispeciality Hospital,"120, Tonk Road, Jaipur, Rajasthan - 302657",0141-84655237,+91-8847712041,dr.anjali.gupta@narayana.com,Jaipur,Rajasthan,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P063,Dr. Sneha Verma,RMC/27221/2010,"MBBS, MD (Pediatrics)",Pediatrician,CK Birla Hospital RBH,"357, Jagatpura, Jaipur, Rajasthan - 302324",0141-40682393,+91-7140698334,dr.sneha.verma@ck.com,Jaipur,Rajasthan,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P064,Dr. Arun Patel,MMC/99033/2008,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Fortis Hospital Mulund,"728, Bandra, Mumbai, Maharashtra - 400683",022-86018576,+91-8820729092,dr.arun.patel@fortis.com,Mumbai,Maharashtra,₹1000-1500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P065,Dr. Rahul Reddy,MMC/48043/2021,"MBBS, MD (Medicine)",General Physician,Columbia Asia Kharadi,"69, Hinjewadi, Pune, Maharashtra - 411456",020-63160521,+91-7749467223,dr.rahul.reddy@columbia.com,Pune,Maharashtra,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P066,Dr. Rajesh Joshi,RMC/27643/2012,"MBBS, MD, DM (Cardiology)",Cardiologist,City Care Bikaner,"994, Sadul Ganj, Bikaner, Rajasthan - 334121",0151-41890728,+91-7455525683,dr.rajesh.joshi@city.com,Bikaner,Rajasthan,₹1200-2000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P067,Dr. Ritu Reddy,TNMC/26009/2020,"MBBS, MD (Dermatology)",Dermatologist,Fortis Malar Hospital,"817, OMR, Chennai, Tamil Nadu - 600812",044-38967038,+91-64241291,dr.ritu.reddy@fortis.com,Chennai,Tamil Nadu,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Tamil",OUTDATED_PHONE
P068,Dr. Rahul Singh,MMC/68205/2008,"MBBS, MD (Dermatology)",Dermatologist,Marine Drive Hospital,"691, Thane, Mumbai, Maharashtra - 400430",022-80505059,+91-988902525,dr.rahul.singh@marine.com,Mumbai,Maharashtra,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P069,Dr. Ravi Menon,KMC/89138/2010,"MBBS, DLO",ENT Specialist,Wellness Hospital,"866, MG Road, Bangalore, Karnataka - 560422",080-71516728,+91-7960818580,dr.ravi.menon@wellness.com,Bangalore,Karnataka,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Kannada",CORRECT_DATA
P070,Dr. Manoj Singh,TSMC/55540/2022,"MBBS, DLO",ENT Specialist,Yashoda Hospital Secunderabad,"800, Banjara Hills, Hyderabad, Telangana - 500213",040-50399593,+91-7377716499,dr.manoj.singh@yashoda.com,Hyderabad,Telangana,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Telugu",CORRECT_DATA
P071,Dr. Suresh Gupta,TNMC/85029/2013,"MBBS, MD (Dermatology)",Dermatologist,MIOT International,"892, Anna Nagar, Chennai, Tamil Nadu - 600217",044-94363607,+91-7645008096,dr.suresh.gupta@miot.com,Chennai,Tamil Nadu,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",CORRECT_DATA
P072,Dr. Neha Menon,KMC/51763/2018,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Columbia Asia Hebbal,"137, HSR Layout, Bangalore, Karnataka - 560341",080-27888419,+91-6502128865,dr.neha.menon@columbia.com,Bangalore,Karnataka,₹1000-1500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Kannada",OUTDATED_PHONE
P073,Dr. Ramesh Menon,DMC/44769/2023,"MBBS, DLO",ENT Specialist,Max Super Speciality Saket,"990, Connaught Place, Delhi, Delhi - 110676",011-76879974,+91-9457292788,dr.ramesh.menon@max.com,Delhi,Delhi,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi",HOSPITAL_CHANGED
P074,Dr. Swati Verma,TNMC/28839/2023,"MBBS, MD (Dermatology)",Dermatologist,Kauvery Hospital Alwarpet,"525, Nungambakkam, Chennai, Tamil Nadu - 600136",044-71755492,+91-8371921120,dr.swati.verma@kauvery.com,Chennai,Tamil Nadu,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",CORRECT_DATA
